id,sex,age,topic,sign,filename
1000331,female,37,indUnk,Leo,..\Data\1000331.female.37.indUnk.Leo.xml
1000866,female,17,Student,Libra,..\Data\1000866.female.17.Student.Libra.xml
1004904,male,23,Arts,Capricorn,..\Data\1004904.male.23.Arts.Capricorn.xml
1005076,female,25,Arts,Cancer,..\Data\1005076.female.25.Arts.Cancer.xml
1005545,male,25,Engineering,Sagittarius,..\Data\1005545.male.25.Engineering.Sagittarius.xml
1007188,male,48,Religion,Libra,..\Data\1007188.male.48.Religion.Libra.xml
100812,female,26,Architecture,Aries,..\Data\100812.female.26.Architecture.Aries.xml
1008329,female,16,Student,Pisces,..\Data\1008329.female.16.Student.Pisces.xml
1009572,male,25,indUnk,Cancer,..\Data\1009572.male.25.indUnk.Cancer.xml
1011153,female,27,Technology,Virgo,..\Data\1011153.female.27.Technology.Virgo.xml
1011289,female,25,indUnk,Libra,..\Data\1011289.female.25.indUnk.Libra.xml
1011311,female,17,indUnk,Scorpio,..\Data\1011311.female.17.indUnk.Scorpio.xml
1013637,male,17,RealEstate,Virgo,..\Data\1013637.male.17.RealEstate.Virgo.xml
1015252,female,23,indUnk,Pisces,..\Data\1015252.female.23.indUnk.Pisces.xml
1015556,male,34,Technology,Virgo,..\Data\1015556.male.34.Technology.Virgo.xml
1016560,male,41,Publishing,Sagittarius,..\Data\1016560.male.41.Publishing.Sagittarius.xml
1016738,male,26,Publishing,Libra,..\Data\1016738.male.26.Publishing.Libra.xml
1016787,female,24,Communications-Media,Leo,..\Data\1016787.female.24.Communications-Media.Leo.xml
1019224,female,27,RealEstate,Libra,..\Data\1019224.female.27.RealEstate.Libra.xml
1019622,female,24,indUnk,Aquarius,..\Data\1019622.female.24.indUnk.Aquarius.xml
1019710,male,16,Student,Pisces,..\Data\1019710.male.16.Student.Pisces.xml
1021779,female,25,indUnk,Scorpio,..\Data\1021779.female.25.indUnk.Scorpio.xml
1022037,male,23,indUnk,Cancer,..\Data\1022037.male.23.indUnk.Cancer.xml
1022086,female,17,Student,Cancer,..\Data\1022086.female.17.Student.Cancer.xml
1024234,female,17,indUnk,Libra,..\Data\1024234.female.17.indUnk.Libra.xml
1025783,female,17,Student,Gemini,..\Data\1025783.female.17.Student.Gemini.xml
1026164,female,23,Education,Aries,..\Data\1026164.female.23.Education.Aries.xml
1026443,female,15,Student,Scorpio,..\Data\1026443.female.15.Student.Scorpio.xml
1028027,female,16,indUnk,Libra,..\Data\1028027.female.16.indUnk.Libra.xml
1028257,male,26,Education,Aries,..\Data\1028257.male.26.Education.Aries.xml
1029959,male,17,indUnk,Aries,..\Data\1029959.male.17.indUnk.Aries.xml
1031806,male,17,Technology,Sagittarius,..\Data\1031806.male.17.Technology.Sagittarius.xml
1032153,male,27,Technology,Pisces,..\Data\1032153.male.27.Technology.Pisces.xml
1032591,female,24,Banking,Aquarius,..\Data\1032591.female.24.Banking.Aquarius.xml
1032824,female,15,Student,Libra,..\Data\1032824.female.15.Student.Libra.xml
1034874,female,43,Publishing,Capricorn,..\Data\1034874.female.43.Publishing.Capricorn.xml
1039136,male,24,Student,Capricorn,..\Data\1039136.male.24.Student.Capricorn.xml
1039908,female,16,indUnk,Gemini,..\Data\1039908.female.16.indUnk.Gemini.xml
1040084,male,17,indUnk,Taurus,..\Data\1040084.male.17.indUnk.Taurus.xml
1042993,male,15,Student,Sagittarius,..\Data\1042993.male.15.Student.Sagittarius.xml
1043329,male,23,Government,Pisces,..\Data\1043329.male.23.Government.Pisces.xml
1043569,male,26,indUnk,Virgo,..\Data\1043569.male.26.indUnk.Virgo.xml
1043785,female,26,Biotech,Leo,..\Data\1043785.female.26.Biotech.Leo.xml
1044338,female,23,Student,Leo,..\Data\1044338.female.23.Student.Leo.xml
1045289,female,25,Arts,Aquarius,..\Data\1045289.female.25.Arts.Aquarius.xml
1045316,male,27,Non-Profit,Capricorn,..\Data\1045316.male.27.Non-Profit.Capricorn.xml
1045831,male,23,Student,Libra,..\Data\1045831.male.23.Student.Libra.xml
1046946,female,25,Arts,Virgo,..\Data\1046946.female.25.Arts.Virgo.xml
1047241,male,16,indUnk,Aries,..\Data\1047241.male.16.indUnk.Aries.xml
1050060,female,24,Student,Pisces,..\Data\1050060.female.24.Student.Pisces.xml
1051122,female,17,Student,Libra,..\Data\1051122.female.17.Student.Libra.xml
1052611,male,23,Student,Aries,..\Data\1052611.male.23.Student.Aries.xml
1054833,female,24,indUnk,Scorpio,..\Data\1054833.female.24.indUnk.Scorpio.xml
1055228,female,16,Student,Cancer,..\Data\1055228.female.16.Student.Cancer.xml
1056232,female,17,indUnk,Aquarius,..\Data\1056232.female.17.indUnk.Aquarius.xml
1056581,female,26,indUnk,Leo,..\Data\1056581.female.26.indUnk.Leo.xml
105748,female,26,Student,Scorpio,..\Data\105748.female.26.Student.Scorpio.xml
1057539,female,33,Telecommunications,Pisces,..\Data\1057539.female.33.Telecommunications.Pisces.xml
1057945,female,26,indUnk,Leo,..\Data\1057945.female.26.indUnk.Leo.xml
1058543,female,24,indUnk,Sagittarius,..\Data\1058543.female.24.indUnk.Sagittarius.xml
1060087,male,27,Arts,Leo,..\Data\1060087.male.27.Arts.Leo.xml
