Word,Rank,Frequency
the,1,133583
and,2,95442
of,3,71267
to,4,48057
a,5,33960
in,6,33580
i,7,30265
that,8,28798
he,9,25857
it,10,22303
his,11,21402
for,12,19527
was,13,18715
with,14,17599
not,15,17373
is,16,16435
you,17,16398
be,18,16115
as,19,14528
but,20,13944
all,21,13725
they,22,13104
him,23,13012
shall,24,11682
her,25,11552
my,26,10511
had,27,10317
them,28,10245
have,29,10116
s,30,9896
me,31,9469
said,32,9429
at,33,9174
she,34,9078
from,35,9076
unto,36,9010
this,37,8915
which,38,8775
on,39,8596
lord,40,8590
by,41,8512
their,42,7806
so,43,7791
will,44,7368
were,45,6871
are,46,6854
thou,47,6759
there,48,6380
when,49,6330
or,50,6325
one,51,6218
no,52,5846
what,53,5792
out,54,5771
".""",55,5751
man,56,5615
thy,57,5609
--,58,5445
god,59,5287
if,60,5245
we,61,5134
your,62,5121
then,63,5091
up,64,5023
an,65,4897
thee,66,4807
do,67,4707
",""",68,4702
now,69,4677
ye,70,4674
upon,71,4587
who,72,4262
into,73,4098
more,74,4062
would,75,4046
very,76,4009
come,77,3642
could,78,3594
like,79,3468
before,80,3449
been,81,3410
any,82,3357
came,83,3337
day,84,3326
king,85,3149
did,86,3121
little,87,3065
know,88,3057
am,89,2987
than,90,2908
house,91,2900
good,92,2899
every,93,2892
1,94,2892
see,95,2885
great,96,2859
these,97,2850
go,98,2841
down,99,2819
2,100,2809
us,101,2804
people,102,2802
some,103,2756
son,104,2754
made,105,2744
say,106,2737
men,107,2726
after,108,2723
how,109,2716
our,110,2714
time,111,2707
let,112,2676
3,113,2636
d,114,2596
about,115,2595
israel,116,2592
such,117,2560
over,118,2559
should,119,2550
may,120,2549
hath,121,2535
4,122,2519
well,123,2509
only,124,2506
even,125,2480
other,126,2451
hand,127,2446
two,128,2374
7,129,2368
mr,130,2356
must,131,2333
5,132,2331
can,133,2327
father,134,2319
against,135,2317
6,136,2316
much,137,2308
went,138,2307
"?""",139,2285
t,140,2256
make,141,2255
children,142,2253
yet,143,2234
9,144,2222
own,145,2221
o,146,2220
8,147,2207
also,148,2186
10,149,2133
again,150,2122
11,151,2112
old,152,2081
land,153,2081
away,154,2027
12,155,1979
things,156,1977
thing,157,1974
might,158,1963
first,159,1937
way,160,1917
13,161,1916
because,162,1896
14,163,1874
mrs,164,1857
where,165,1853
never,166,1838
give,167,1830
take,168,1803
15,169,1803
nor,170,1801
here,171,1782
long,172,1765
saying,173,1746
though,174,1738
"!""",175,1719
himself,176,1702
16,177,1699
think,178,1693
earth,179,1682
shalt,180,1673
those,181,1668
ever,182,1656
has,183,1653
being,184,1652
saw,185,1636
therefore,186,1628
18,187,1607
heard,188,1599
put,189,1592
many,190,1591
through,191,1589
place,192,1588
without,193,1581
off,194,1576
most,195,1523
19,196,1523
17,197,1513
heart,198,1500
head,199,1495
name,200,1493
too,201,1485
20,202,1475
nothing,203,1469
behold,204,1468
21,205,1451
life,206,1447
22,207,1435
eyes,208,1428
whom,209,1424
among,210,1405
thus,211,1366
still,212,1355
thought,213,1353
sea,214,1351
last,215,1333
just,216,1332
done,217,1322
word,218,1303
its,219,1291
world,220,1285
23,221,1283
face,222,1275
why,223,1272
night,224,1270
days,225,1270
same,226,1268
saith,227,1267
found,228,1263
voice,229,1258
another,230,1256
whale,231,1254
took,232,1242
hear,233,1235
brought,234,1231
hast,235,1230
three,236,1228
while,237,1222
mother,238,1213
forth,239,1195
sons,240,1191
miss,241,1190
24,242,1189
look,243,1187
heaven,244,1185
set,245,1181
side,246,1166
round,247,1162
young,248,1158
tell,249,1153
right,250,1148
called,251,1138
under,252,1126
back,253,1123
love,254,1121
david,255,1110
neither,256,1109
cried,257,1107
pass,258,1090
seemed,259,1086
soon,260,1081
quite,261,1079
25,262,1078
oh,263,1075
both,264,1072
words,265,1057
city,266,1052
sir,267,1050
thine,268,1047
26,269,1045
years,270,1023
left,271,1023
mine,272,1020
till,273,1018
always,274,1013
hands,275,1006
speak,276,1003
bring,277,996
jesus,278,988
looked,279,984
high,280,982
death,281,981
herself,282,971
woman,283,966
together,284,964
27,285,958
far,286,946
sent,287,944
something,288,942
whole,289,938
seen,290,935
once,291,931
stood,292,930
sure,293,921
.--,294,920
thereof,295,920
half,296,916
gave,297,914
soul,298,910
poor,299,907
end,300,896
28,301,893
fire,302,890
work,303,887
morning,304,877
better,305,874
indeed,306,873
according,307,867
emma,308,866
moses,309,864
captain,310,859
don,311,855
part,312,854
eat,313,849
given,314,848
jerusalem,315,821
full,316,819
whose,317,819
judah,318,817
cannot,319,816
water,320,816
evil,321,811
each,322,810
rather,323,809
enough,324,808
brother,325,807
answered,326,806
29,327,802
myself,328,795
going,329,794
light,330,793
new,331,791
white,332,788
told,333,782
themselves,334,778
between,335,767
offering,336,767
hundred,337,766
mind,338,764
almost,339,764
body,340,762
began,341,761
lady,342,761
door,343,757
rest,344,755
wife,345,755
moment,346,755
thousand,347,755
dead,348,751
friend,349,749
knew,350,748
spirit,351,746
!--,352,744
ship,353,744
sight,354,741
get,355,739
law,356,736
30,357,736
blood,358,734
dear,359,732
having,360,728
turned,361,727
find,362,726
31,363,726
stand,364,724
keep,365,721
room,366,721
art,367,715
priest,368,710
gone,369,707
holy,370,692
none,371,686
elinor,372,685
fear,373,683
home,374,681
hope,375,681
ll,376,678
yes,377,676
however,378,673
really,379,670
few,380,664
gold,381,663
call,382,657
spake,383,656
believe,384,655
32,385,654
sword,386,647
peace,387,646
taken,388,645
perhaps,389,633
marianne,390,632
egypt,391,632
does,392,631
mouth,393,631
year,394,625
four,395,623
within,396,619
known,397,616
strong,398,612
power,399,608
air,400,608
feet,401,608
sister,402,606
felt,403,606
servant,404,605
ahab,405,605
present,406,604
bear,407,603
whether,408,603
near,409,603
cast,410,598
33,411,597
fathers,412,595
asked,413,594
christ,414,594
sort,415,592
best,416,590
turn,417,589
servants,418,584
five,419,581
looking,420,581
brethren,421,578
mean,422,573
daughter,423,572
happy,424,569
open,425,569
small,426,569
boy,427,566
next,428,565
seven,429,564
sat,430,563
sun,431,562
return,432,559
anne,433,556
hold,434,552
above,435,551
want,436,550
else,437,549
live,438,548
child,439,548
cut,440,548
34,441,545
turnbull,442,545
since,443,541
fell,444,539
m,445,532
",'",446,530
pray,447,526
truth,448,526
glory,449,524
certain,450,523
sin,451,522
